;amo muchacho trabajo;amor amar sentir;amor vida ángel;blanco color vestir;bueno casa amigo;caballo momento echar;calle niño amigo;capitán caballo vida;claro santo altar;claro tomar pasar;cura pueblo niño;dinero papel nombre;doctor alma libro;grande bueno mundo;griego sultán lleno;jefe político plaza;jefe secretario regidor;juez coronel reo;leer libro carta;luz cielo sol;madre padre familia;muerte pobre mismo;padre anciano amigo;pasar grande voz;pastor pueblo casa;querer bueno casa;querer padre llorar;recibir medio noche;secreto inquisidor tribunal;sor hermano mirar
mx0030_Altamirano_NavidadMontanas003;0.0004310345;0.1211206897;0.0047413793;0.0004310345;0.0004310345;0.0004310345;0.0004310345;0.0607758621;0.0004310345;0.0004310345;0.1642241379;0.0047413793;0.030603448300000002;0.19870689660000002;0.0004310345;0.0004310345;0.0004310345;0.0004310345;0.0004310345;0.0004310345;0.15129310340000002;0.0176724138;0.0004310345;0.0004310345;0.0349137931;0.1814655172;0.0004310345;0.0176724138;0.0004310345;0.0047413793
mx0030_Altamirano_NavidadMontanas002;0.0003584229;0.1544802867;0.0003584229;0.0039426523;0.0003584229;0.064874552;0.036200716800000005;0.0541218638;0.011111111100000001;0.0003584229;0.129390681;0.0003584229;0.0039426523;0.0003584229;0.011111111100000001;0.0326164875;0.0182795699;0.0039426523;0.0003584229;0.0899641577;0.0003584229;0.0505376344;0.064874552;0.1329749104;0.0612903226;0.0684587814;0.0003584229;0.0003584229;0.0003584229;0.0039426523
mx0030_Altamirano_NavidadMontanas001;0.0003125;0.0878125;0.0846875;0.0003125;0.0003125;0.0003125;0.0003125;0.0003125;0.0940625;0.0003125;0.2284375;0.0003125;0.0034375;0.0159375;0.0034375;0.0003125;0.0003125;0.0003125;0.0003125;0.14406249999999998;0.0096875;0.0003125;0.0003125;0.2096875;0.1096875;0.0003125;0.0003125;0.0003125;0.0034375;0.0003125
mx0029_Altamirano_Antonia022;0.006666666700000001;0.27333333330000004;0.006666666700000001;0.006666666700000001;0.006666666700000001;0.006666666700000001;0.006666666700000001;0.006666666700000001;0.006666666700000001;0.006666666700000001;0.34;0.006666666700000001;0.006666666700000001;0.0733333333;0.006666666700000001;0.006666666700000001;0.006666666700000001;0.006666666700000001;0.006666666700000001;0.006666666700000001;0.006666666700000001;0.006666666700000001;0.006666666700000001;0.006666666700000001;0.006666666700000001;0.006666666700000001;0.0733333333;0.006666666700000001;0.0733333333;0.006666666700000001
mx0029_Altamirano_Antonia021;0.0004545455;0.1686363636;0.0004545455;0.0004545455;0.0004545455;0.0004545455;0.005;0.005;0.0004545455;0.0004545455;0.0504545455;0.0004545455;0.0004545455;0.1459090909;0.0004545455;0.0277272727;0.0004545455;0.055;0.0004545455;0.0004545455;0.0777272727;0.055;0.0004545455;0.1504545455;0.0004545455;0.1277272727;0.1004545455;0.0140909091;0.0095454545;0.0004545455
mx0029_Altamirano_Antonia020;0.00037878790000000004;0.1102272727;0.00037878790000000004;0.00037878790000000004;0.00037878790000000004;0.1178030303;0.00037878790000000004;0.053409090900000004;0.00037878790000000004;0.00037878790000000004;0.0496212121;0.0079545455;0.00037878790000000004;0.00037878790000000004;0.00037878790000000004;0.00037878790000000004;0.023106060600000002;0.1026515152;0.00037878790000000004;0.00037878790000000004;0.0117424242;0.0041666667;0.00037878790000000004;0.2579545455;0.00037878790000000004;0.1897727273;0.0571969697;0.00037878790000000004;0.0079545455;0.00037878790000000004
mx0029_Altamirano_Antonia019;0.0039285714;0.0717857143;0.0003571429;0.039642857100000005;0.0003571429;0.0896428571;0.0003571429;0.0039285714;0.0110714286;0.0003571429;0.036071428600000004;0.0003571429;0.0146428571;0.0003571429;0.0003571429;0.0003571429;0.0003571429;0.0967857143;0.007500000000000001;0.036071428600000004;0.0539285714;0.0039285714;0.028928571400000002;0.2289285714;0.09321428570000001;0.0967857143;0.007500000000000001;0.0717857143;0.0003571429;0.0003571429
mx0029_Altamirano_Antonia018;0.0003846154;0.0003846154;0.0003846154;0.1542307692;0.0003846154;0.1157692308;0.0003846154;0.0003846154;0.0003846154;0.0003846154;0.0196153846;0.0157692308;0.0003846154;0.0003846154;0.0042307692;0.0042307692;0.0003846154;0.0734615385;0.008076923100000001;0.0234615385;0.0003846154;0.0003846154;0.0734615385;0.26576923080000003;0.08884615380000001;0.1273076923;0.0003846154;0.0003846154;0.0196153846;0.0003846154
mx0029_Altamirano_Antonia017;0.0004524887;0.0819004525;0.02760181;0.08642533940000001;0.0321266968;0.0819004525;0.0004524887;0.009502262400000001;0.0004524887;0.0004524887;0.0049773756;0.0004524887;0.0004524887;0.0004524887;0.0185520362;0.0185520362;0.0004524887;0.0728506787;0.0004524887;0.0004524887;0.0004524887;0.0004524887;0.0049773756;0.1;0.02760181;0.33076923080000004;0.09547511310000001;0.0004524887;0.0004524887;0.0004524887
mx0029_Altamirano_Antonia016;0.00046728970000000004;0.0612149533;0.00046728970000000004;0.00046728970000000004;0.0799065421;0.0658878505;0.00046728970000000004;0.00046728970000000004;0.0051401869000000005;0.00046728970000000004;0.0191588785;0.00046728970000000004;0.00046728970000000004;0.0565420561;0.00046728970000000004;0.00046728970000000004;0.00046728970000000004;0.1920560748;0.00046728970000000004;0.00046728970000000004;0.0051401869000000005;0.00046728970000000004;0.023831775700000002;0.0892523364;0.00046728970000000004;0.3929906542;0.00046728970000000004;0.00046728970000000004;0.00046728970000000004;0.00046728970000000004
mx0029_Altamirano_Antonia015;0.0004310345;0.0004310345;0.0004310345;0.0004310345;0.0004310345;0.0564655172;0.013362069;0.030603448300000002;0.0090517241;0.0004310345;0.09956896550000001;0.0004310345;0.0004310345;0.0823275862;0.0004310345;0.0004310345;0.0349137931;0.12974137930000001;0.0004310345;0.0004310345;0.0478448276;0.013362069;0.0435344828;0.086637931;0.0219827586;0.31939655170000003;0.0004310345;0.0047413793;0.0004310345;0.0004310345
mx0029_Altamirano_Antonia014;0.0004149378;0.0958506224;0.0958506224;0.0128630705;0.0004149378;0.0004149378;0.0004149378;0.0045643154;0.0004149378;0.0004149378;0.0460580913;0.0004149378;0.0004149378;0.0709543568;0.0004149378;0.0004149378;0.0004149378;0.10414937760000001;0.0087136929;0.0004149378;0.0004149378;0.0170124481;0.0004149378;0.2452282158;0.0170124481;0.2369294606;0.0128630705;0.0253112033;0.0004149378;0.0004149378
mx0029_Altamirano_Antonia013;0.0004219409;0.28312236290000004;0.0004219409;0.0004219409;0.0004219409;0.0004219409;0.0004219409;0.0215189873;0.0004219409;0.0004219409;0.0215189873;0.038396624500000004;0.0215189873;0.1987341772;0.0004219409;0.0004219409;0.0004219409;0.029957805900000002;0.0004219409;0.0257383966;0.0004219409;0.0004219409;0.0004219409;0.1185654008;0.0004219409;0.1734177215;0.0046413502;0.0552742616;0.0004219409;0.0004219409
mx0029_Altamirano_Antonia012;0.00043290040000000003;0.16926406930000001;0.00043290040000000003;0.0134199134;0.0090909091;0.0220779221;0.00043290040000000003;0.0480519481;0.00043290040000000003;0.00043290040000000003;0.0047619048;0.0047619048;0.0090909091;0.00043290040000000003;0.00043290040000000003;0.00043290040000000003;0.00043290040000000003;0.1432900433;0.00043290040000000003;0.00043290040000000003;0.0567099567;0.00043290040000000003;0.00043290040000000003;0.16926406930000001;0.00043290040000000003;0.3077922078;0.00043290040000000003;0.00043290040000000003;0.00043290040000000003;0.0350649351
