;Word 0;Word 1;Word 2;Word 3;Word 4;Word 5;Word 6;Word 7;Word 8;Word 9;Word 10;Word 11;Word 12;Word 13;Word 14;Word 15;Word 16;Word 17;Word 18;Word 19;Word 20;Word 21;Word 22;Word 23;Word 24;Word 25;Word 26;Word 27;Word 28;Word 29;Word 30;Word 31;Word 32;Word 33;Word 34;Word 35;Word 36;Word 37;Word 38;Word 39;Word 40;Word 41;Word 42;Word 43;Word 44;Word 45;Word 46;Word 47;Word 48;Word 49;Word 50;Word 51;Word 52;Word 53;Word 54;Word 55;Word 56;Word 57;Word 58;Word 59;Word 60;Word 61;Word 62;Word 63;Word 64;Word 65;Word 66;Word 67;Word 68;Word 69;Word 70;Word 71;Word 72;Word 73;Word 74;Word 75;Word 76;Word 77;Word 78;Word 79;Word 80;Word 81;Word 82;Word 83;Word 84;Word 85;Word 86;Word 87;Word 88;Word 89;Word 90;Word 91;Word 92;Word 93;Word 94;Word 95;Word 96;Word 97;Word 98;Word 99
Topic 20;querer;bueno;casa;venir;hablar;conocer;pasar;poner;muchacho;malo;dejar;volver;andar;grande;perder;salir;seguir;pobre;quedar;acabar;palabra;tomar;mismo;tiempo;entrar;fin;pensar;ofrecer;verdad;llevar;hora;llamar;amigo;comprender;tratar;encontrar;deber;entender;traer;responder;noche;caso;esperar;oír;buscar;contestar;niño;pedir;nadie;haber;mal;echar;continuar;mirar;vivo;suceder;posible;persona;solo;dormir;razón;comer;conversación;cara;manera;gente;gustar;proseguir;correr;asunto;repetir;cuidar;cierto;tarde;necesitar;faltar;ganar;merecer;vengar;mañana;cuenta;preguntar;familia;procurar;pagar;favor;ocasión;permitir;miedo;reír;pesar;sacar;gran;contento;orden;valer;visitar;servir;camino;atrever
Topic 21;jefe;político;plaza;tequila;hallar;parte;amo;largo;primo;petra;pueblo;mercé;reponer;vivir;autoridad;hacienda;hecho;fondo;cruz;lugar;jacal;enorme;abuelo;contestar;arma;cabeza;mezcal;extenso;horno;armar;depositar;potrero;alcohol;virgen;compañía;tono;negocio;pronunciar;cárcel;sirviente;vecino;realidad;cocer;libertad;tablado;vecindario;interlocutor;amarillo;pistola;indígena;trabajador;canto;montar;llenar;convertir;lleno;temer;revolucionario;tuerto;sorprender;capilla;resistir;cepo;troje;número;vino;famoso;tupir;sembrar;fabricante;exterior;alto;lomo;mole;crear;mantener;alejar;extremo;fábrica;desgracia;analco;pertenecer;trecho;leche;rebozar;indio;matar;miel;legua;maíz;fiesta;recámara;procedimiento;antiguo;pronunciado;energía;azúcar;posesión;balazo;contagio
Topic 22;capitán;caballo;vida;muerto;veterano;soldado;muchacho;pistola;gritar;poner;exclamar;fantasma;centinela;contestar;aguardiente;cama;gracia;pueblo;noche;molino;matar;guerrilla;miserable;señorito;bigote;menester;duro;viajero;bandido;mozo;arma;cielo;rey;firme;cuarto;linda;guerrillero;diablo;beber;tomar;pollo;arrojar;par;botella;multitud;asesinar;sacrificar;lindo;patrona;seco;cenar;maíz;mueca;vela;esqueleto;asesino;franciscano;ofrecer;mundo;desear;edificio;digno;tranquilo;sábana;orilla;montar;quitar;piedad;hacienda;calavera;espacioso;corcel;espada;pluma;azotea;valor;tropa;significar;cuesta;batir;rincón;encantar;soltar;expresivo;inquietar;vaso;mulato;claraboya;brasero;disparar;libertar;patio;lumbre;mitad;perfidia;teniente;fusil;importar;enviar;fondera
Topic 23;sor;hermano;mirar;madre;exclaustrado;tornero;villar;pupila;noche;ex;capuchino;gato;blanco;recuerdo;mirada;vecino;sacristán;santo;casa;comer;oscuro;convento;calle;murmurar;patio;celda;habitar;habitación;vivienda;miseria;recordar;mañana;pardo;capuchina;monje;celestial;comunidad;sonriente;tarde;existencia;faz;conventual;vía;dama;vagar;maitines;bonachón;dormir;exclaustración;protección;oratorio;doncel;brillante;tristeza;escuchar;comedor;rama;elegante;ferrar;refugio;portón;carne;amarillo;azul;regla;angustia;espiritual;sobrino;esposo;redondo;mensajero;morada;mueble;bueno;atravesar;brillar;soledad;llave;intentar;inclinado;desesperar;único;ilustrísimo;velo;protector;volteriano;cilicio;piel;llorar;visión;reforma;experimentar;hundir;extremo;cercano;bicho;septuagenario;duro;san;rosario
Topic 24;cura;pueblo;niño;grande;venir;alcalde;pequeño;vecino;familia;hermano;hermoso;lugar;escuela;trabajo;muchacho;alegre;carácter;montaña;santo;bueno;gran;desear;gente;llevar;alegría;sacerdote;maestro;aldea;misa;comenzar;llorar;costumbre;padre;honrado;abrazar;humilde;semblante;ocultar;montañés;cantar;enseñar;fiesta;cristiano;idea;alegrar;suponer;recordar;cena;acompañar;posible;navidad;nochebuena;flor;bendito;admirar;trabajar;autoridad;inocente;concluir;popular;pobre;crear;representar;centro;anciano;trigo;responder;labrador;largo;ejército;extraordinario;realizar;consagrar;virtuoso;presencia;cariño;nacimiento;portal;niñez;tropa;presentar;sereno;colina;merced;militar;verdadero;regular;útil;cultivar;notable;oficio;nacer;paja;ley;mancebo;habitante;elevar;cercano;examinar;práctica
Topic 25;querer;padre;llorar;lágrima;madre;cadáver;conocer;muerto;perder;venir;brazo;pobre;morir;nuestro;sepulturero;dolor;caer;corazón;nadie;amar;responder;verdad;buscar;enfermo;abandonar;abrazar;preciso;prometer;conducir;sufrir;colocar;mandar;junto;vengar;volver;huir;sepulcro;perdonar;causa;casar;perdón;servir;compasión;matar;huérfano;despedir;besar;oprimir;quedar;derramar;extremo;engañar;podar;indicar;arrancar;infeliz;auxilio;pecho;olvidar;alumbrar;cementerio;caber;instante;ropa;delirio;fúnebre;avisar;venganza;ahogar;sepultar;tierra;rogar;vela;desmayar;cama;centro;orar;destino;tiniebla;continuo;miseria;perro;entrar;escaso;explicar;espectáculo;suplicar;favor;asaltar;viuda;aventura;necesidad;prisión;ataúd;castigar;arreglar;señal;opaco;trabajo;insultar
Topic 26;amo;muchacho;trabajo;andar;buey;hacienda;camino;pensar;tomar;casilda;cadena;zurdo;venir;desnudo;finca;suelo;mulo;mayordomo;principiar;rojo;orden;compañero;continuar;sonar;frase;producir;deber;sacudir;izquierdo;estado;hoja;dirección;caña;mitad;húmedo;bosque;revelar;castigar;castigo;lograr;bastante;cerebro;colocar;distancia;replicar;faena;yunta;pata;enagua;mandar;papá;tapanco;introducir;color;milpa;vara;anillo;longitud;machete;trozo;suelto;soler;solar;cortar;señó;boyero;huir;casco;sujetar;dedo;asesinato;asta;guía;montería;auxiliar;sirviente;sacar;ordinario;anterior;servir;cántaro;tallar;pierna;principal;plática;herrero;mosquito;rosal;escopeta;soga;labrador;hallar;cumplir;carpintero;posol;hierba;rocío;azúcar;superficie;temblor
Topic 27;madre;padre;familia;casa;hermano;niño;vivir;pensar;mamá;marido;recibir;esposo;embargo;edad;vida;criado;morir;papá;poner;gusto;mandar;parte;acompañar;reunir;noche;mes;conocer;falta;pan;lado;lanzar;hambre;relación;bien;pertenecer;beso;platicar;aristocracia;negocio;cuidado;gracia;obedecer;colegio;obligar;fortuna;trabajar;protector;querer;esperanza;conseguir;compañía;comerciante;voz;chocolate;arreglar;título;convento;terrible;carrera;nacer;emplear;admitir;carecer;consentir;necesario;educar;prodigar;abrazo;escribano;confundir;encerrar;vino;profesar;generoso;huérfano;menester;atender;aposento;coche;enviar;erar;caballero;suspirar;alegría;recurso;altanero;sala;marqués;heredero;inocente;estudio;influencia;expresivo;estimación;unión;unir;infancia;pariente;consiguiente;convidar
Topic 28;amor;vida;ángel;corazón;llorar;lágrima;pobre;niño;voz;labio;beso;flor;mundo;morir;cielo;noche;leer;suspiro;perfume;alma;poner;palabra;frente;último;comprender;escribir;crear;puro;madre;pálido;jardín;murmurar;dulce;muerte;feliz;hermano;carta;libro;soñar;cerebro;vago;piano;poeta;ilusión;íntimo;cantar;eco;santo;verso;viento;sacerdote;música;etcétera;arrodillar;nombre;besar;tranquilo;seno;boca;nuestro;nota;novelar;lector;velar;autor;sollozo;garganta;postrero;poesía;largo;oración;confundir;mamá;tierno;lindo;rosa;emoción;exhalar;hermanar;infancia;juramento;linda;humano;alejar;pabellón;rodilla;pensar;celeste;amargo;sollozar;pequeño;rey;gota;ensueño;tempestad;loco;corona;revelar;arder;gemir
Topic 29;jefe;secretario;regidor;procesión;andar;cura;ángel;salar;santo;público;liberal;asunto;discurso;ley;religioso;ganar;comercio;plaza;político;escuela;peso;jefatura;estado;exclamar;cruz;mesa;chico;enemigo;río;gallo;tienda;católico;meter;municipal;hablar;gente;quitar;recomendar;noticia;método;gobernador;edil;multar;viuda;mandar;san;arreglar;cabildo;pintar;dirigir;ayuntamiento;recoger;profesor;echar;moderno;instrucción;zurito;encender;rojo;celebrar;repique;principio;gilda;enseñanza;seguida;cola;gesto;giro;nombrar;beato;aplaudir;preso;vara;parte;cárcel;encargar;tribuna;reforma;aguardiente;comisión;trapo;colegio;enviar;arcángel;iglesia;comadre;sesión;desempeñar;chapa;cabrales;lengua;distrito;creencia;opinar;filosofía;gato;apuesta;colorado;borracho;motivo
